Model Name,Temperature,Learn Rate,Iterations,Number Of Leaves,Minimum Example Count Per Leaf,Win Rate vs Gen1 CallTrump,Win Rate vs Gen2 CallTrump,Call Trump Passed Tests
Gen1 CallTrump,,0.1,200,31,20,0.49864,0.33344,10
Gen2 CallTrump,0.25,0.5,100,64,40,0.66816,0.50128,12
gen3t0.1a CallTrump,0.1,0.5,100,64,40,0.57788,0.41408,15
gen3t0.25a CallTrump,0.25,0.5,100,64,40,0.58596,0.42532,15
gen3t0.4a CallTrump,0.4,0.5,100,64,40,0.59096,0.4406,16
gen3t0.55a CallTrump,0.55,0.5,100,64,40,0.6008,0.42932,14
gen3t0.7a CallTrump,0.7,0.5,100,64,40,0.59128,0.42372,14
gen3t0.85a CallTrump,0.85,0.5,100,64,40,0.58816,0.42864,16
gen3t1a CallTrump,1,0.5,100,64,40,0.57324,0.41596,15
gen3t1.15a CallTrump,1.15,0.5,100,64,40,0.58712,0.43032,14
gen3t1.3a CallTrump,1.3,0.5,100,64,40,0.5978,0.4306,16
gen3t1.45a CallTrump,1.45,0.5,100,64,40,0.60892,0.4496,11
gen3t1.6a CallTrump,1.6,0.5,100,64,40,0.58876,0.42976,14
gen3t1.75a CallTrump,1.75,0.5,100,64,40,0.58284,0.42188,12
gen3t0.1b CallTrump,0.1,0.1,100,32,20,0.49572,0.33504,9
gen3t0.25b CallTrump,0.25,0.1,100,32,20,0.49752,0.34376,7
gen3t0.4b CallTrump,0.4,0.1,100,32,20,0.507,0.34836,7
gen3t0.55b CallTrump,0.55,0.1,100,32,20,0.50224,0.32888,6
gen3t0.7b CallTrump,0.7,0.1,100,32,20,0.51384,0.33084,7
gen3t0.85b CallTrump,0.85,0.1,100,32,20,0.51112,0.33544,7
gen3t1b CallTrump,1,0.1,100,32,20,0.52512,0.3448,6
gen3t1.15b CallTrump,1.15,0.1,100,32,20,0.52552,0.34804,9
gen3t1.3b CallTrump,1.3,0.1,100,32,20,0.52916,0.35152,7
gen3t1.45b CallTrump,1.45,0.1,100,32,20,0.5142,0.33748,13
gen3t1.6b CallTrump,1.6,0.1,100,32,20,0.52596,0.34588,8
gen3t1.75b CallTrump,1.75,0.1,100,32,20,0.52188,0.33916,7
gen3lr0.1 CallTrump,1.45,0.1,100,32,20,0.52032,0.35196,13
gen3lr0.2 CallTrump,1.45,0.2,100,32,20,0.56064,0.40024,9
gen3lr0.3 CallTrump,1.45,0.3,100,32,20,0.58188,0.41236,10
gen3lr0.4 CallTrump,1.45,0.4,100,32,20,0.5842,0.42316,15
gen3lr0.5 CallTrump,1.45,0.5,100,32,20,0.60224,0.42392,14
gen3lr0.6 CallTrump,1.45,0.6,100,32,20,0.59016,0.42916,13
gen3lr0.7 CallTrump,1.45,0.7,100,32,20,0.60216,0.43988,15
gen3lr0.8 CallTrump,1.45,0.8,100,32,20,0.56328,0.41324,13
gen3lr0.9 CallTrump,1.45,0.9,100,32,20,0.57188,0.42536,16
gen3lr1.0 CallTrump,1.45,1,100,32,20,0.51136,0.37688,20
gen3lr1.1 CallTrump,1.45,1.1,100,32,20,0.56252,0.41688,19
gen3lr1.2 CallTrump,1.45,1.2,100,32,20,0.55176,0.41556,16
gen3lr1.3 CallTrump,1.45,1.3,100,32,20,0.5292,0.40008,22
gen3lr1.4 CallTrump,1.45,1.4,100,32,20,0.49352,0.367,14
gen3lr1.5 CallTrump,1.45,1.5,100,32,20,0.47348,0.34704,12
gen3i50 CallTrump,1.45,0.7,50,32,20,0.5872,0.4172,14
gen3i100 CallTrump,1.45,0.7,100,32,20,0.58936,0.43236,13
gen3i150 CallTrump,1.45,0.7,150,32,20,0.585,0.43432,14
gen3i200 CallTrump,1.45,0.7,200,32,20,0.6078,0.45432,18
gen3i250 CallTrump,1.45,0.7,250,32,20,0.56164,0.42712,15
gen3i300 CallTrump,1.45,0.7,300,32,20,0.56376,0.42248,15
gen3i350 CallTrump,1.45,0.7,350,32,20,0.58736,0.4338,17
gen3l16 CallTrump,1.45,0.7,200,16,20,0.59392,0.44428,20
gen3l32 CallTrump,1.45,0.7,200,32,20,0.58212,0.43012,14
gen3l48 CallTrump,1.45,0.7,200,48,20,0.57304,0.4188,14
gen3l64 CallTrump,1.45,0.7,200,64,20,0.5692,0.4284,13
gen3l80 CallTrump,1.45,0.7,200,80,20,0.57416,0.42656,16
gen3l96 CallTrump,1.45,0.7,200,96,20,0.5564,0.41412,15
gen3l112 CallTrump,1.45,0.7,200,112,20,0.56716,0.42044,9
"gen3msl05 CallTrump","1.45","0.7","200","16","5","0.5994","0.43596","20"
"gen3msl10 CallTrump","1.45","0.7","200","16","10","0.5894","0.44144","20"
"gen3msl15 CallTrump","1.45","0.7","200","16","15","0.59312","0.44028","20"
"gen3msl20 CallTrump","1.45","0.7","200","16","20","0.59064","0.43776","20"
"gen3msl25 CallTrump","1.45","0.7","200","16","25","0.59296","0.44272","20"
"gen3msl30 CallTrump","1.45","0.7","200","16","30","0.59252","0.43832","20"
"gen3msl35 CallTrump","1.45","0.7","200","16","35","0.59632","0.43384","14"
"gen3msl40 CallTrump","1.45","0.7","200","16","40","0.60064","0.44228","14"
"gen3c CallTrump","1.45","0.7","200","16","25","0.59132","0.43816","14"
"gen3d CallTrump","1.45","0.7","200","16","25","0.57992","0.43428","20"
"gen3e CallTrump","1.45","0.7","200","16","25","0.59596","0.43224","20"
"gen2x CallTrump","0.25","0.7","200","16","25","0.63048","0.47056","15"
