"Team 1 Name","Team 2 Name","Battle Command","Team 1 Win Rate","Team 2 Win Rate"
"Chaos","gen1b2","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen1b2 -c 25000 -json output.json","0.0226","0.9774"
"Chaos","gen1c","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen1c -c 25000 -json output.json","0.02536","0.97464"
"Chaos","gen2b","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen2b -c 25000 -json output.json","0.0448","0.9552"
"Chaos","gen2t","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen2t -c 25000 -json output.json","0.04908","0.95092"
"Chaos","gen3b","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen3b -c 25000 -json output.json","0.0464","0.9536"
"Chaos","gen3t","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen3t -c 25000 -json output.json","0.04268","0.95732"
"gen1b2","gen1c","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen1c -c 25000 -json output.json","0.60052","0.39948"
"gen1b2","gen2b","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen2b -c 25000 -json output.json","0.43496","0.56504"
"gen1b2","gen2t","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen2t -c 25000 -json output.json","0.4548","0.5452"
"gen1b2","gen3b","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen3b -c 25000 -json output.json","0.34164","0.65836"
"gen1b2","gen3t","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen3t -c 25000 -json output.json","0.47472","0.52528"
"gen1c","gen2b","dotnet run --project NemesisEuchre.Console -- -t1m gen1c -t2m gen2b -c 25000 -json output.json","0.35972","0.64028"
"gen1c","gen2t","dotnet run --project NemesisEuchre.Console -- -t1m gen1c -t2m gen2t -c 25000 -json output.json","0.39804","0.60196"
"gen1c","gen3b","dotnet run --project NemesisEuchre.Console -- -t1m gen1c -t2m gen3b -c 25000 -json output.json","0.28708","0.71292"
"gen1c","gen3t","dotnet run --project NemesisEuchre.Console -- -t1m gen1c -t2m gen3t -c 25000 -json output.json","0.41136","0.58864"
"gen2b","gen2t","dotnet run --project NemesisEuchre.Console -- -t1m gen2b -t2m gen2t -c 25000 -json output.json","0.54528","0.45472"
"gen2b","gen3b","dotnet run --project NemesisEuchre.Console -- -t1m gen2b -t2m gen3b -c 25000 -json output.json","0.38496","0.61504"
"gen2b","gen3t","dotnet run --project NemesisEuchre.Console -- -t1m gen2b -t2m gen3t -c 25000 -json output.json","0.52484","0.47516"
"gen2t","gen3b","dotnet run --project NemesisEuchre.Console -- -t1m gen2t -t2m gen3b -c 25000 -json output.json","0.3402","0.6598"
"gen2t","gen3t","dotnet run --project NemesisEuchre.Console -- -t1m gen2t -t2m gen3t -c 25000 -json output.json","0.47228","0.52772"
"gen3b","gen3t","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3t -c 25000 -json output.json","0.65628","0.34372"
"Chaos","gen4b","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen4b -c 25000 -json output.json","0.03276","0.96724"
"gen1b2","gen4b","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen4b -c 25000 -json output.json","0.3382","0.6618"
"gen1c","gen4b","dotnet run --project NemesisEuchre.Console -- -t1m gen1c -t2m gen4b -c 25000 -json output.json","0.26084","0.73916"
"gen2b","gen4b","dotnet run --project NemesisEuchre.Console -- -t1m gen2b -t2m gen4b -c 25000 -json output.json","0.36976","0.63024"
"gen2t","gen4b","dotnet run --project NemesisEuchre.Console -- -t1m gen2t -t2m gen4b -c 25000 -json output.json","0.33252","0.66748"
"gen3b","gen4b","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen4b -c 25000 -json output.json","0.48864","0.51136"
"gen3t","gen4b","dotnet run --project NemesisEuchre.Console -- -t1m gen3t -t2m gen4b -c 25000 -json output.json","0.35944","0.64056"
"Chaos","gen5b","dotnet run --project NemesisEuchre.Console -- -t1 Chaos -t2m gen5b -c 25000 -json output.json","0.04324","0.95676"
"gen1b2","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen1b2 -t2m gen5b -c 25000 -json output.json","0.28052","0.71948"
"gen1c","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen1c -t2m gen5b -c 25000 -json output.json","0.21464","0.78536"
"gen2b","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen2b -t2m gen5b -c 25000 -json output.json","0.32096","0.67904"
"gen2t","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen2t -t2m gen5b -c 25000 -json output.json","0.30548","0.69452"
"gen3b","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen5b -c 25000 -json output.json","0.432","0.568"
"gen3t","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen3t -t2m gen5b -c 25000 -json output.json","0.31092","0.68908"
"gen4b","gen5b","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen5b -c 25000 -json output.json","0.4926","0.5084"
