Model Name,Win Rate vs Gen1,Win Rate vs Gen2,Call Trump Passed Tests,Discard Card Passed Tests,Play Card Passed Tests
"gen3t0.1a","0.60048","0.42688","15","11","2"
"gen3t0.25a","0.62228","0.44488","15","10","3"
"gen3t0.4a","0.61108","0.4504","16","11","14"
"gen3t0.55a","0.623","0.42488","14","10","3"
"gen3t0.7a","0.61304","0.43444","14","11","13"
"gen3t0.85a","0.61016","0.43912","16","12","7"
"gen3t1a","0.60616","0.42368","15","10","3"
"gen3t1.15a","0.6116","0.44772","14","12","3"
"gen3t1.3a","0.61736","0.44576","16","10","14"
"gen3t1.45a","0.62324","0.44712","11","10","11"
"gen3t1.6a","0.61596","0.44192","14","10","14"
"gen3t1.75a","0.6052","0.43232","12","10","13"
"gen3t0.1a CallTrump","0.598","0.41408","15","",""
"gen3t0.25a CallTrump","0.614","0.42532","15","",""
"gen3t0.4a CallTrump","0.612","0.4406","16","",""
"gen3t0.55a CallTrump","0.61196","0.42932","14","",""
"gen3t0.7a CallTrump","0.60464","0.42372","14","",""
"gen3t0.85a CallTrump","0.61564","0.42864","16","",""
"gen3t1a CallTrump","0.60684","0.41596","15","",""
"gen3t1.15a CallTrump","0.61628","0.43032","14","",""
"gen3t1.3a CallTrump","0.61644","0.4306","16","",""
"gen3t1.45a CallTrump","0.61584","0.4496","11","",""
"gen3t1.6a CallTrump","0.6098","0.42976","14","",""
"gen3t1.75a CallTrump","0.60516","0.42188","12","",""
"gen3t0.1b CallTrump","0.53812","0.33504","9","",""
"gen3t0.25b CallTrump","0.53552","0.34376","7","",""
"gen3t0.4b CallTrump","0.53976","0.34836","7","",""
"gen3t0.55b CallTrump","0.53188","0.32888","6","",""
"gen3t0.7b CallTrump","0.547","0.33084","7","",""
"gen3t0.85b CallTrump","0.541","0.33544","7","",""
"gen3t1b CallTrump","0.5604","0.3448","6","",""
"gen3t1.15b CallTrump","0.5598","0.34804","9","",""
"gen3t1.3b CallTrump","0.56096","0.35152","7","",""
"gen3t1.45b CallTrump","0.56212","0.33748","13","",""
"gen3t1.6b CallTrump","0.57064","0.34588","8","",""
"gen3t1.75b CallTrump","0.56356","0.33916","7","",""
"Gen1 CallTrump","0.53764","0.33344","10","",""
"Gen2 CallTrump","0.67536","0.50128","12","",""
