"Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Call Trump Passed Tests"
"gen1b2.1","0.025","0.7","100","16","25","0.5906","18"
"gen1c.1","0.025","0.7","100","16","25","0.62284","15"
"gen1b2.2","0.25","0.7","100","16","25","0.59832","18"
"gen1c.2","0.25","0.7","100","16","25","0.62492","14"
"gen1b2.3","2.5","0.7","100","16","25","0.59408","10"
"gen1c.3","2.5","0.7","100","16","25","0.58892","12"
"gen1b2.4","0.025","1.15","100","16","25","0.57296","18"
"gen1c.4","0.025","1.15","100","16","25","0.59684","10"
"gen1b2.5","0.25","1.15","100","16","25","0.58412","18"
"gen1c.5","0.25","1.15","100","16","25","0.587","14"
"gen1b2.6","2.5","1.15","100","16","25","0.586","15"
"gen1c.6","2.5","1.15","100","16","25","0.57404","13"
"gen1b2.7","0.025","0.7","200","16","25","0.6074","17"
"gen1c.7","0.025","0.7","200","16","25","0.63784","14"
"gen1b2.8","0.25","0.7","200","16","25","0.61644","20"
"gen1c.8","0.25","0.7","200","16","25","0.63236","17"
"gen1b2.9","2.5","0.7","200","16","25","0.6122","14"
"gen1c.9","2.5","0.7","200","16","25","0.59868","14"
"gen1b2.10","0.025","1.15","200","16","25","0.57936","16"
"gen1c.10","0.025","1.15","200","16","25","0.60612","9"
"gen1b2.11","0.25","1.15","200","16","25","0.5912","19"
"gen1c.11","0.25","1.15","200","16","25","0.60732","13"
"gen1b2.12","2.5","1.15","200","16","25","0.58948","16"
"gen1c.12","2.5","1.15","200","16","25","0.58656","11"
"gen1b2.13","0.025","0.7","300","16","25","0.6","20"
"gen1c.13","0.025","0.7","300","16","25","0.62316","15"
"gen1b2.14","0.25","0.7","300","16","25","0.6124","20"
"gen1c.14","0.25","0.7","300","16","25","0.62932","17"
"gen1b2.15","2.5","0.7","300","16","25","0.60216","13"
"gen1c.15","2.5","0.7","300","16","25","0.58732","12"
"gen1b2.16","0.025","1.15","300","16","25","0.57224","14"
