"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","CallTrump Passed Tests"
"1","can3.1","","0.5","200","64","150","0.50684","17"
"2","can3.2","","0.75","200","64","150","0.50704","17"
"3","can3.3","","1","200","64","150","0.49436","14"
"4","can3.4","","0.5","300","64","150","0.50972","14"
"5","can3.5","","0.75","300","64","150","0.5068","15"
"6","can3.6","","1","300","64","150","0.4962","17"
"7","can3.7","","0.5","400","64","150","0.5064","16"
"8","can3.8","","0.75","400","64","150","0.5006","15"
"9","can3.9","","1","400","64","150","0.49048","16"
"10","can3.10","","0.5","200","64","200","0.50692","15"
"11","can3.11","","0.75","200","64","200","0.51096","16"
"12","can3.12","","1","200","64","200","0.4936","16"
"13","can3.13","","0.5","300","64","200","0.50328","14"
"14","can3.14","","0.75","300","64","200","0.5086","17"
"15","can3.15","","1","300","64","200","0.49516","16"
"16","can3.16","","0.5","400","64","200","0.50308","14"
"17","can3.17","","0.75","400","64","200","0.50504","16"
"18","can3.18","","1","400","64","200","0.484","16"
"19","can3.19","","0.5","200","64","300","0.51164","17"
"20","can3.20","","0.75","200","64","300","0.50904","11"
"21","can3.21","","1","200","64","300","0.49084","12"
"22","can3.22","","0.5","300","64","300","0.50824","17"
"23","can3.23","","0.75","300","64","300","0.50788","12"
"24","can3.24","","1","300","64","300","0.49716","13"
"25","can3.25","","0.5","400","64","300","0.50156","17"
"26","can3.26","","0.75","400","64","300","0.49892","16"
"27","can3.27","","1","400","64","300","0.48404","16"
"28","can3.28","","0.5","200","96","150","0.51124","16"
"29","can3.29","","0.75","200","96","150","0.5052","13"
"30","can3.30","","1","200","96","150","0.49904","17"
"31","can3.31","","0.5","300","96","150","0.50828","16"
"32","can3.32","","0.75","300","96","150","0.50468","17"
"33","can3.33","","1","300","96","150","0.49412","18"
"34","can3.34","","0.5","400","96","150","0.50524","16"
"35","can3.35","","0.75","400","96","150","0.50768","17"
"36","can3.36","","1","400","96","150","0.4836","17"
"37","can3.37","","0.5","200","96","200","0.50924","15"
"38","can3.38","","0.75","200","96","200","0.50764","15"
"39","can3.39","","1","200","96","200","0.49116","13"
"40","can3.40","","0.5","300","96","200","0.50064","15"
"41","can3.41","","0.75","300","96","200","0.50312","13"
"42","can3.42","","1","300","96","200","0.49348","16"
"43","can3.43","","0.5","400","96","200","0.50664","15"
"44","can3.44","","0.75","400","96","200","0.49952","16"
"45","can3.45","","1","400","96","200","0.48632","15"
"46","can3.46","","0.5","200","96","300","0.51732","14"
"47","can3.47","","0.75","200","96","300","0.50904","16"
"48","can3.48","","1","200","96","300","0.49928","18"
"49","can3.49","","0.5","300","96","300","0.51296","13"
"50","can3.50","","0.75","300","96","300","0.50184","17"
"51","can3.51","","1","300","96","300","0.4884","17"
"52","can3.52","","0.5","400","96","300","0.50344","13"
"53","can3.53","","0.75","400","96","300","0.5048","14"
"54","can3.54","","1","400","96","300","0.49128","18"
