"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Discard Passed Tests"
"1","can3d.1","","0.25","200","64","200","0.50424","11"
"2","can3d.2","","0.5","200","64","200","0.50988","10"
"3","can3d.3","","0.75","200","64","200","0.50544","13"
"4","can3d.4","","0.25","300","64","200","0.50444","11"
"5","can3d.5","","0.5","300","64","200","0.50652","11"
"6","can3d.6","","0.75","300","64","200","0.5066","11"
"7","can3d.7","","0.25","400","64","200","0.49808","12"
"8","can3d.8","","0.5","400","64","200","0.5048","10"
"9","can3d.9","","0.75","400","64","200","0.50484","11"
"10","can3d.10","","0.25","200","64","400","0.50884","11"
"11","can3d.11","","0.5","200","64","400","0.5042","9"
"12","can3d.12","","0.75","200","64","400","0.50328","11"
"13","can3d.13","","0.25","300","64","400","0.50488","12"
"14","can3d.14","","0.5","300","64","400","0.50264","11"
"15","can3d.15","","0.75","300","64","400","0.50568","11"
"16","can3d.16","","0.25","400","64","400","0.5068","12"
"17","can3d.17","","0.5","400","64","400","0.50308","10"
"18","can3d.18","","0.75","400","64","400","0.50348","10"
"19","can3d.19","","0.25","200","128","200","0.5008","13"
"20","can3d.20","","0.5","200","128","200","0.50168","10"
"21","can3d.21","","0.75","200","128","200","0.49984","11"
"22","can3d.22","","0.25","300","128","200","0.51108","13"
"23","can3d.23","","0.5","300","128","200","0.50392","11"
"24","can3d.24","","0.75","300","128","200","0.49968","9"
"25","can3d.25","","0.25","400","128","200","0.50636","13"
"26","can3d.26","","0.5","400","128","200","0.508","10"
"27","can3d.27","","0.75","400","128","200","0.50584","9"
"28","can3d.28","","0.25","200","128","400","0.50044","12"
"29","can3d.29","","0.5","200","128","400","0.50084","11"
"30","can3d.30","","0.75","200","128","400","0.50692","12"
"31","can3d.31","","0.25","300","128","400","0.5014","12"
"32","can3d.32","","0.5","300","128","400","0.5074","12"
"33","can3d.33","","0.75","300","128","400","0.50376","13"
"34","can3d.34","","0.25","400","128","400","0.50024","11"
"35","can3d.35","","0.5","400","128","400","0.50336","11"
"36","can3d.36","","0.75","400","128","400","0.49892","12"
"37","can3d.37","","0.25","200","256","200","0.50348","8"
"38","can3d.38","","0.5","200","256","200","0.50512","10"
"39","can3d.39","","0.75","200","256","200","0.50136","10"
"40","can3d.40","","0.25","300","256","200","0.50652","9"
"41","can3d.41","","0.5","300","256","200","0.50388","10"
"42","can3d.42","","0.75","300","256","200","0.496","11"
"43","can3d.43","","0.25","400","256","200","0.5014","8"
"44","can3d.44","","0.5","400","256","200","0.50536","10"
"45","can3d.45","","0.75","400","256","200","0.49452","11"
"46","can3d.46","","0.25","200","256","400","0.509","11"
"47","can3d.47","","0.5","200","256","400","0.50784","11"
"48","can3d.48","","0.75","200","256","400","0.4994","12"
"49","can3d.49","","0.25","300","256","400","0.50684","11"
"50","can3d.50","","0.5","300","256","400","0.49924","11"
"51","can3d.51","","0.75","300","256","400","0.4984","10"
"52","can3d.52","","0.25","400","256","400","0.50532","10"
"53","can3d.53","","0.5","400","256","400","0.5044","11"
"54","can3d.54","","0.75","400","256","400","0.4948","9"
"55","can3d.55","","0.25","200","640","200","0.5066","12"
"56","can3d.56","","0.5","200","640","200","0.496","12"
"57","can3d.57","","0.75","200","640","200","0.49956","12"
"58","can3d.58","","0.25","300","640","200","0.49928","11"
"59","can3d.59","","0.5","300","640","200","0.49168","10"
"60","can3d.60","","0.75","300","640","200","0.492","10"
"61","can3d.61","","0.25","400","640","200","0.50264","11"
"62","can3d.62","","0.5","400","640","200","0.49968","12"
"63","can3d.63","","0.75","400","640","200","0.48244","11"
"64","can3d.64","","0.25","200","640","400","0.49916","12"
"65","can3d.65","","0.5","200","640","400","0.49904","10"
"66","can3d.66","","0.75","200","640","400","0.49488","10"
"67","can3d.67","","0.25","300","640","400","0.50168","12"
"68","can3d.68","","0.5","300","640","400","0.50392","9"
"69","can3d.69","","0.75","300","640","400","0.49056","11"
"70","can3d.70","","0.25","400","640","400","0.499","11"
"71","can3d.71","","0.5","400","640","400","0.50012","9"
"72","can3d.72","","0.75","400","640","400","0.48576","12"
"73","can3d.73","","0.25","200","64","100","0.50252","10"
"74","can3d.74","","0.5","200","64","100","0.50844","10"
"75","can3d.75","","0.25","300","64","100","0.50156","11"
"76","can3d.76","","0.5","300","64","100","0.50964","10"
"77","can3d.77","","0.25","200","64","300","0.50668","11"
"78","can3d.78","","0.5","200","64","300","0.50548","11"
"79","can3d.79","","0.25","300","64","300","0.50312","11"
"80","can3d.80","","0.5","300","64","300","0.51444","11"
"81","can3d.81","","0.25","200","128","100","0.5068","12"
"82","can3d.82","","0.5","200","128","100","0.50192","12"
"83","can3d.83","","0.25","300","128","100","0.50256","12"
"84","can3d.84","","0.5","300","128","100","0.50276","12"
"85","can3d.85","","0.25","200","128","300","0.50184","13"
"86","can3d.86","","0.5","200","128","300","0.50264","11"
"87","can3d.87","","0.25","300","128","300","0.50548","13"
"88","can3d.88","","0.5","300","128","300","0.51208","12"
"89","can3d.89","","0.25","200","256","100","0.51252","11"
"90","can3d.90","","0.5","200","256","100","0.50364","10"
"91","can3d.91","","0.25","300","256","100","0.50736","11"
"92","can3d.92","","0.5","300","256","100","0.5012","12"
"93","can3d.93","","0.25","200","256","300","0.50308","11"
"94","can3d.94","","0.5","200","256","300","0.50508","11"
"95","can3d.95","","0.25","300","256","300","0.50088","12"
"96","can3d.96","","0.5","300","256","300","0.5004","11"
