"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Play Passed Tests"
"1","can3p.1","","0.25","200","64","200","0.47232","5"
"2","can3p.2","","0.5","200","64","200","0.47944","11"
"3","can3p.3","","0.75","200","64","200","0.48128","9"
"4","can3p.4","","0.25","300","64","200","0.45452","5"
"5","can3p.5","","0.5","300","64","200","0.4728","11"
"6","can3p.6","","0.75","300","64","200","0.4674","10"
"7","can3p.7","","0.25","400","64","200","0.44776","6"
"8","can3p.8","","0.5","200","256","200","0.45984","8"
"9","can3p.9","","0.75","200","256","200","0.47568","7"
"10","can3p.10","","0.5","300","256","200","0.44644","8"
"11","can3p.11","","0.75","300","256","200","0.46224","8"
"12","can3p.12","","0.5","400","256","200","0.44","8"
"13","can3p.13","","0.75","400","256","200","0.4534","9"
"14","can3p.14","","0.5","200","256","400","0.47008","10"
"15","can3p.15","","0.75","200","256","400","0.46324","5"
"16","can3p.16","","0.5","300","256","400","0.44908","10"
"17","can3p.17","","0.75","300","256","400","0.4612","5"
"18","can3p.18","","0.5","200","640","200","0.472","8"
"19","can3p.19","","0.5","200","960","200","0.46364","6"
"21","can3p.21","","0.5","300","640","200","0.4506","7"
"22","can3p.22","","0.5","300","960","200","0.45308","6"
"24","can3p.24","","0.75","200","640","200","0.47328","9"
"25","can3p.25","","0.75","200","960","200","0.4556","9"
"27","can3p.27","","0.75","300","640","200","0.44372","9"
"28","can3p.28","","0.75","300","960","200","0.44528","11"
"30","can3p.30","","0.5","200","640","400","0.47428","13"
"31","can3p.31","","0.5","200","960","400","0.4628","6"
"33","can3p.33","","0.5","300","640","400","0.45608","13"
"34","can3p.34","","0.5","300","960","400","0.45584","7"
"36","can3p.36","","0.75","200","640","400","0.46764","10"
"37","can3p.37","","0.75","200","960","400","0.45644","11"
"39","can3p.39","","0.75","300","640","400","0.44748","10"
"40","can3p.40","","0.75","300","960","400","0.46276","10"
"42","can3p.42","","0.5","200","640","600","0.46132","9"
"43","can3p.43","","0.5","200","960","600","0.45892","8"
"45","can3p.45","","0.5","200","1280","200","0.45396","9"
"46","can3p.46","","0.5","200","1920","200","0.4678","12"
"47","can3p.47","","0.75","200","1280","200","0.46484","10"
"48","can3p.48","","0.75","200","1920","200","0.45488","13"
"49","can3p.49","","0.5","200","1280","400","0.46264","10"
"50","can3p.50","","0.5","200","1920","400","0.45948","11"
"51","can3p.51","","0.75","200","1280","400","0.46472","15"
"52","can3p.52","","0.75","200","1920","400","0.45916","14"
"53","can3p.53","","0.5","200","1280","600","0.45616","9"
"54","can3p.54","","0.5","200","1920","600","0.45992","9"
"55","can3p.55","","0.75","200","1280","600","0.46528","10"
"56","can3p.56","","0.75","200","1920","600","0.46516","10"
