"Model Number","Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen2b","Play Passed Tests"
"1","can3sp.1","","0.5","200","63","400","0.55396","3"
"2","can3sp.2","","0.5","200","255","400","0.56028","1"
"3","can3sp.3","","0.75","200","63","400","0.5516","2"
"4","can3sp.4","","0.75","200","255","400","0.56404","1"
"5","can3sp.5","","0.5","200","63","600","0.55012","3"
"6","can3sp.6","","0.5","200","255","600","0.58752","1"
"7","can3sp.7","","0.75","200","63","600","0.5888","1"
"8","can3sp.8","","0.75","200","255","600","0.57104","1"
"9","can3sp.9","","0.5","200","63","800","0.55572","1"
"10","can3sp.10","","0.5","200","255","800","0.557","2"
"11","can3sp.11","","0.75","200","63","800","0.56436","1"
"12","can3sp.12","","0.75","200","255","800","0.56172","1"
"13","can3sp.13","","0.5","100","63","600","0.56768","3"
"14","can3sp.14","","0.5","100","255","600","0.57908","1"
"15","can3sp.15","","0.5","400","63","600","0.53084","2"
"16","can3sp.16","","0.5","400","255","600","0.53792","1"
"17","can3sp.17","","0.75","100","63","600","0.58144","2"
"18","can3sp.18","","0.75","100","255","600","0.58132","2"
"19","can3sp.19","","0.75","400","63","600","0.52876","2"
"20","can3sp.20","","0.75","400","255","600","0.55544","1"
"21","can3sp.21","","0.375","200","63","600","0.56628","2"
"22","can3sp.22","","0.375","200","127","600","0.55892","2"
"23","can3sp.23","","0.5","200","63","600","0.591","3"
"24","can3sp.24","","0.5","200","127","600","0.57192","2"
"25","can3sp.25","","0.675","200","63","600","0.60004","2"
"26","can3sp.26","","0.675","200","127","600","0.56188","2"
"27","can3sp.27","","0.75","200","63","600","0.57332","1"
"28","can3sp.28","","0.75","200","127","600","0.56876","1"
"29","can3sp.29","","0.875","200","63","600","0.566","2"
"30","can3sp.30","","0.875","200","127","600","0.5516","2"
