"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Battle Command","Test Command"
"1","can3d.1","0.25","75","63","200","0","0.01","0.503","0","10",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.1 -json output.json"
"2","can3d.2","0.25","75","127","200","0","0.01","0.50252","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.2 -json output.json"
"3","can3d.3","0.25","75","255","200","0","0.01","0.49752","0","10",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.3 -json output.json"
"4","can3d.4","0.25","150","63","200","0","0.01","0.50104","0","12",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.4 -json output.json"
"5","can3d.5","0.25","150","127","200","0","0.01","0.4978","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.5 -json output.json"
"6","can3d.6","0.25","150","255","200","0","0.01","0.50136","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.6 -json output.json"
"7","can3d.7","0.25","200","63","200","0","0.01","0.49972","0","11",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.7 -json output.json"
"8","can3d.8","0.25","200","127","200","0","0.01","0.49976","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.8 -json output.json"
"9","can3d.9","0.25","200","255","200","0","0.01","0.50464","0","13",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.9 -json output.json"
"10","can3d.10","0.5","75","63","200","0","0.01","0.50096","0","10",,"dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-discard can3d.10 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3d.10 -json output.json"
