"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Battle Command","Test Command"
"1","can3p.1","0.5","75","127","200","0","0.01","0.50164","0","0","7","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.1 -json output.json"
"2","can3p.2","0.5","75","255","200","0","0.01","0.50088","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.2 -json output.json"
"3","can3p.3","0.5","75","511","200","0","0.01","0.50096","0","0","11","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.3 -json output.json"
"4","can3p.4","0.5","150","127","200","0","0.01","0.49604","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.4 -json output.json"
"5","can3p.5","0.5","150","255","200","0","0.01","0.49896","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.5 -json output.json"
"6","can3p.6","0.5","150","511","200","0","0.01","0.49616","0","0","9","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.6 -json output.json"
"7","can3p.7","0.5","200","127","200","0","0.01","0.50092","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.7 -json output.json"
"8","can3p.8","0.5","200","255","200","0","0.01","0.49576","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.8 -json output.json"
"9","can3p.9","0.5","200","511","200","0","0.01","0.49828","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.9 -json output.json"
"10","can3p.10","0.75","75","127","200","0","0.01","0.50412","0","0","7","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.10 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.10 -json output.json"
"11","can3p.11","0.75","75","255","200","0","0.01","0.50424","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.11 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.11 -json output.json"
"12","can3p.12","0.75","75","511","200","0","0.01","0.50508","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.12 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.12 -json output.json"
"13","can3p.13","0.75","150","127","200","0","0.01","0.49796","0","0","12","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.13 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.13 -json output.json"
"14","can3p.14","0.75","150","255","200","0","0.01","0.49684","0","0","12","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.14 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.14 -json output.json"
"15","can3p.15","0.75","150","511","200","0","0.01","0.50052","0","0","9","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.15 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.15 -json output.json"
"16","can3p.16","0.75","200","127","200","0","0.01","0.50276","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.16 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.16 -json output.json"
"17","can3p.17","0.75","200","255","200","0","0.01","0.4988","0","0","11","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.17 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.17 -json output.json"
"18","can3p.18","0.75","200","511","200","0","0.01","0.50068","0","0","9","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.18 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.18 -json output.json"
"19","can3p.19","0.5","75","127","400","0","0.01","0.49972","0","0","7","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.19 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.19 -json output.json"
"20","can3p.20","0.5","75","255","400","0","0.01","0.50604","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.20 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.20 -json output.json"
"21","can3p.21","0.5","75","511","400","0","0.01","0.49808","0","0","14","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.21 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.21 -json output.json"
"22","can3p.22","0.5","150","127","400","0","0.01","0.49776","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.22 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.22 -json output.json"
"23","can3p.23","0.5","150","255","400","0","0.01","0.50048","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.23 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.23 -json output.json"
"24","can3p.24","0.5","150","511","400","0","0.01","0.50068","0","0","11","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.24 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.24 -json output.json"
"25","can3p.25","0.5","200","127","400","0","0.01","0.50308","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.25 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.25 -json output.json"
"26","can3p.26","0.5","200","255","400","0","0.01","0.50036","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.26 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.26 -json output.json"
"27","can3p.27","0.5","200","511","400","0","0.01","0.49812","0","0","12","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.27 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.27 -json output.json"
"28","can3p.28","0.75","75","127","400","0","0.01","0.49928","0","0","7","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.28 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.28 -json output.json"
"29","can3p.29","0.75","75","255","400","0","0.01","0.49696","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.29 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.29 -json output.json"
"30","can3p.30","0.75","75","511","400","0","0.01","0.50232","0","0","8","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.30 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.30 -json output.json"
"31","can3p.31","0.75","150","127","400","0","0.01","0.49796","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.31 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.31 -json output.json"
"32","can3p.32","0.75","150","255","400","0","0.01","0.50256","0","0","10","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.32 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.32 -json output.json"
"33","can3p.33","0.75","150","511","400","0","0.01","0.49528","0","0","9","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-play can3p.33 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3p.33 -json output.json"
