"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Battle Command","Test Command"
"1","can3sp.1","0.5","100","31","400","0","0.01","0.49048","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.1 -json output.json"
"2","can3sp.2","0.5","100","63","400","0","0.01","0.50372","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.2 -json output.json"
"3","can3sp.3","0.5","100","127","400","0","0.01","0.49776","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.3 -json output.json"
"4","can3sp.4","0.5","150","31","400","0","0.01","0.48032","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.4 -json output.json"
"5","can3sp.5","0.5","150","63","400","0","0.01","0.48932","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.5 -json output.json"
"6","can3sp.6","0.5","150","127","400","0","0.01","0.49708","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.6 -json output.json"
"7","can3sp.7","0.5","200","31","400","0","0.01","0.47536","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.7 -json output.json"
"8","can3sp.8","0.5","200","63","400","0","0.01","0.4822","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.8 -json output.json"
"9","can3sp.9","0.5","200","127","400","0","0.01","0.48916","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.9 -json output.json"
"10","can3sp.10","0.625","100","31","400","0","0.01","0.50044","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.10 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.10 -json output.json"
"11","can3sp.11","0.625","100","63","400","0","0.01","0.50332","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.11 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.11 -json output.json"
"12","can3sp.12","0.625","100","127","400","0","0.01","0.50896","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.12 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.12 -json output.json"
"13","can3sp.13","0.625","150","31","400","0","0.01","0.4824","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.13 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.13 -json output.json"
"14","can3sp.14","0.625","150","63","400","0","0.01","0.49824","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.14 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.14 -json output.json"
"15","can3sp.15","0.625","150","127","400","0","0.01","0.492","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.15 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.15 -json output.json"
"16","can3sp.16","0.625","200","31","400","0","0.01","0.48412","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.16 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.16 -json output.json"
"17","can3sp.17","0.625","200","63","400","0","0.01","0.48324","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.17 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.17 -json output.json"
"18","can3sp.18","0.625","200","127","400","0","0.01","0.49016","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.18 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.18 -json output.json"
"19","can3sp.19","0.675","100","31","400","0","0.01","0.5032","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.19 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.19 -json output.json"
"20","can3sp.20","0.675","100","63","400","0","0.01","0.50392","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.20 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.20 -json output.json"
"21","can3sp.21","0.675","100","127","400","0","0.01","0.5012","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.21 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.21 -json output.json"
"22","can3sp.22","0.675","150","31","400","0","0.01","0.49172","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.22 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.22 -json output.json"
"23","can3sp.23","0.675","150","63","400","0","0.01","0.49104","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.23 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.23 -json output.json"
"24","can3sp.24","0.675","150","127","400","0","0.01","0.49624","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.24 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.24 -json output.json"
"25","can3sp.25","0.675","200","31","400","0","0.01","0.476","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.25 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.25 -json output.json"
"26","can3sp.26","0.675","200","63","400","0","0.01","0.488","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.26 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.26 -json output.json"
"27","can3sp.27","0.675","200","127","400","0","0.01","0.49168","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.27 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.27 -json output.json"
"28","can3sp.28","0.75","100","31","400","0","0.01","0.4952","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.28 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.28 -json output.json"
"29","can3sp.29","0.75","100","63","400","0","0.01","0.5022","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.29 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.29 -json output.json"
"30","can3sp.30","0.75","100","127","400","0","0.01","0.50568","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.30 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.30 -json output.json"
"31","can3sp.31","0.75","150","31","400","0","0.01","0.48976","0","0","3","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.31 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.31 -json output.json"
"32","can3sp.32","0.75","150","63","400","0","0.01","0.48308","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.32 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.32 -json output.json"
"33","can3sp.33","0.75","150","127","400","0","0.01","0.49644","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.33 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.33 -json output.json"
"34","can3sp.34","0.75","200","31","400","0","0.01","0.4778","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.34 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.34 -json output.json"
"35","can3sp.35","0.75","200","63","400","0","0.01","0.47512","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.35 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.35 -json output.json"
"36","can3sp.36","0.75","200","127","400","0","0.01","0.49032","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.36 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.36 -json output.json"
"37","can3sp.37","0.5","100","31","600","0","0.01","0.49204","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.37 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.37 -json output.json"
"38","can3sp.38","0.5","100","63","600","0","0.01","0.49852","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.38 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.38 -json output.json"
"39","can3sp.39","0.5","100","127","600","0","0.01","0.49872","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.39 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.39 -json output.json"
"40","can3sp.40","0.5","150","31","600","0","0.01","0.48504","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.40 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.40 -json output.json"
"41","can3sp.41","0.5","150","63","600","0","0.01","0.47988","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.41 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.41 -json output.json"
"42","can3sp.42","0.5","150","127","600","0","0.01","0.49624","0","0","1","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.42 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.42 -json output.json"
"43","can3sp.43","0.5","200","31","600","0","0.01","0.48268","0","0","2","dotnet run --project NemesisEuchre.Console -- -t1m gen3b -t2m gen3b -t2m-simple-play can3sp.43 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can3sp.43 -json output.json"
