"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command"
"1","can5act.1","0.625","50","127","300","0","0.01","0.53064","22",,,"[2026/03/23 09:12:05]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.1 -json output.json"
"2","can5act.2","0.625","50","255","300","0","0.01","0.54352","23",,,"[2026/03/23 09:47:22]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.2 -json output.json"
"3","can5act.3","0.625","50","511","300","0","0.01","0.54164","23",,,"[2026/03/23 10:23:15]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.3 -json output.json"
"4","can5act.4","0.625","75","127","300","0","0.01","0.53596","22",,,"[2026/03/23 10:56:17]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.4 -json output.json"
"5","can5act.5","0.625","75","255","300","0","0.01","0.53404","23",,,"[2026/03/23 11:30:10]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.5 -json output.json"
"6","can5act.6","0.625","75","511","300","0","0.01","0.53268","24",,,"[2026/03/23 12:04:33]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.6 -json output.json"
"7","can5act.7","0.625","100","127","300","0","0.01","0.52904","22",,,"[2026/03/23 12:39:05]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.7 -json output.json"
"8","can5act.8","0.625","100","255","300","0","0.01","0.53412","24",,,"[2026/03/23 13:15:00]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.8 -json output.json"
"9","can5act.9","0.625","100","511","300","0","0.01","0.52828","24",,,"[2026/03/23 13:52:21]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.9 -json output.json"
"10","can5act.10","0.75","50","127","300","0","0.01","0.52712","22",,,"[2026/03/23 14:27:36]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.10 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.10 -json output.json"
"11","can5act.11","0.75","50","255","300","0","0.01","0.53536","21",,,"[2026/03/23 15:03:32]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.11 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.11 -json output.json"
"12","can5act.12","0.75","50","511","300","0","0.01","0.53404","17",,,"[2026/03/23 15:39:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.12 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.12 -json output.json"
"13","can5act.13","0.75","75","127","300","0","0.01","0.52404","22",,,"[2026/03/23 16:17:02]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.13 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.13 -json output.json"
"14","can5act.14","0.75","75","255","300","0","0.01","0.53372","22",,,"[2026/03/23 16:54:27]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.14 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.14 -json output.json"
"15","can5act.15","0.75","75","511","300","0","0.01","0.53344","19",,,"[2026/03/23 17:33:02]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.15 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.15 -json output.json"
"16","can5act.16","0.75","100","127","300","0","0.01","0.53064","23",,,"[2026/03/23 18:12:00]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.16 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.16 -json output.json"
"17","can5act.17","0.75","100","255","300","0","0.01","0.52028","22",,,"[2026/03/23 18:51:41]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.17 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.17 -json output.json"
"18","can5act.18","0.75","100","511","300","0","0.01","0.5228","20",,,"[2026/03/23 19:32:09]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.18 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.18 -json output.json"
"19","can5act.19","0.875","50","127","300","0","0.01","0.52788","20",,,"[2026/03/23 20:08:41]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.19 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.19 -json output.json"
"20","can5act.20","0.875","50","255","300","0","0.01","0.52728","22",,,"[2026/03/23 20:44:09]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.20 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.20 -json output.json"
"21","can5act.21","0.875","50","511","300","0","0.01","0.52876","21",,,"[2026/03/23 21:23:12]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.21 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.21 -json output.json"
"22","can5act.22","0.875","75","127","300","0","0.01","0.5254","20",,,"[2026/03/23 22:03:24]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.22 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.22 -json output.json"
"23","can5act.23","0.875","75","255","300","0","0.01","0.52892","22",,,"[2026/03/23 22:44:37]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.23 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.23 -json output.json"
"24","can5act.24","0.875","75","511","300","0","0.01","0.53668","20",,,"[2026/03/23 23:27:07]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.24 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.24 -json output.json"
"25","can5act.25","0.875","100","127","300","0","0.01","0.52516","20",,,"[2026/03/24 00:09:47]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.25 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.25 -json output.json"
"26","can5act.26","0.875","100","255","300","0","0.01","0.51604","22",,,"[2026/03/24 00:53:27]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.26 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.26 -json output.json"
"27","can5act.27","0.875","100","511","300","0","0.01","0.52084","20",,,"[2026/03/24 01:38:10]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.27 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.27 -json output.json"
"28","can5act.28","0.625","50","127","500","0","0.01","0.52992","24",,,"[2026/03/24 02:17:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.28 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.28 -json output.json"
"29","can5act.29","0.625","50","255","500","0","0.01","0.53944","24",,,"[2026/03/24 02:56:52]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.29 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.29 -json output.json"
"30","can5act.30","0.625","50","511","500","0","0.01","0.54176","21",,,"[2026/03/24 03:37:31]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.30 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.30 -json output.json"
"31","can5act.31","0.625","75","127","500","0","0.01","0.53768","24",,,"[2026/03/24 04:17:43]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.31 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.31 -json output.json"
"32","can5act.32","0.625","75","255","500","0","0.01","0.53712","24",,,"[2026/03/24 04:59:17]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.32 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.32 -json output.json"
"33","can5act.33","0.625","75","511","500","0","0.01","0.53412","23",,,"[2026/03/24 05:41:33]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.33 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.33 -json output.json"
"34","can5act.34","0.625","100","127","500","0","0.01","0.53336","22",,,"[2026/03/24 06:24:19]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.34 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.34 -json output.json"
"35","can5act.35","0.625","100","255","500","0","0.01","0.53284","24",,,"[2026/03/24 07:07:43]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.35 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.35 -json output.json"
"36","can5act.36","0.625","100","511","500","0","0.01","0.53652","22",,,"[2026/03/24 07:52:02]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.36 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.36 -json output.json"
"37","can5act.37","0.75","50","127","500","0","0.01","0.53408","23",,,"[2026/03/24 08:30:42]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.37 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.37 -json output.json"
"38","can5act.38","0.75","50","255","500","0","0.01","0.53976","22",,,"[2026/03/24 09:10:06]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.38 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.38 -json output.json"
"39","can5act.39","0.75","50","511","500","0","0.01","0.53404","22",,,"[2026/03/24 09:49:23]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.39 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.39 -json output.json"
