"Model Name","DecisionType","Win Rate vs gen5bc"
"can5ap.114","Advanced Play","0.50828"
"can5ap.239","Advanced Play","0.49836"
"can5ap.155","Advanced Play","0.4958"
"can5ap.147","Advanced Play","0.51024"
"can5ap.197","Advanced Play","0.49212"
"can5act.87","Call Trump","0.4984"
"can5act.2","Call Trump","0.50204"
"can5act.60","Call Trump","0.50008"
"can5act.88","Call Trump","0.50344"
"can5act.30","Call Trump","0.50072"
"can5ad.28","Discard","0"
"can5ad.10","Discard","0"
"can5ad.41","Discard","0"
"can5ad.48","Discard","0"
"can5ad.46","Discard","0"
"can5ap.114","Advanced Play","0.49576"
"can5ap.239","Advanced Play","0.51012"
"can5ap.155","Advanced Play","0.51824"
"can5ap.147","Advanced Play","0.51128"
"can5ap.197","Advanced Play","0.51092"
"can5act.87","Call Trump","0.49864"
"can5act.2","Call Trump","0.50768"
"can5act.60","Call Trump","0.4928"
"can5act.88","Call Trump","0.50596"
"can5act.30","Call Trump","0.4902"
"can5ad.28","Discard","0.5012"
"can5ad.10","Discard","0.50332"
"can5ad.41","Discard","0.49944"
"can5ad.48","Discard","0.5048"
"can5ad.46","Discard","0.49984"
