"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command","Decision Type","IDV Source"
"1","can5act.g1","0.75","75","255","500","0","0.01","0.5368","23",,,"[2026/03/22 09:14:37]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g1 -json output.json","AdvancedCallTrump","idv5c1"
"2","can5ad.g1","0.25","150","63","300","0","0.01","0.49944",,"10",,"[2026/03/22 09:19:13]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g1 -json output.json","AdvancedDiscard","idv5c1"
"3","can5ap.g1","0.75","100","127","400","0","0.01","0.48328",,,"11","[2026/03/22 10:40:56]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g1 -json output.json","AdvancedPlay","idv5c1"
"4","can5act.g2","0.75","75","255","500","0","0.01","0.53044","20",,,"[2026/03/22 10:53:09]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g2 -json output.json","AdvancedCallTrump","idv5c2"
"5","can5ad.g2","0.25","150","63","300","0","0.01","0.50192",,"13",,"[2026/03/22 10:57:53]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g2 -json output.json","AdvancedDiscard","idv5c2"
"6","can5ap.g2","0.75","100","127","400","0","0.01","0.45696",,,"9","[2026/03/22 12:20:49]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g2 -json output.json","AdvancedPlay","idv5c2"
"7","can5act.g3","0.75","75","255","500","0","0.01","0.53848","23",,,"[2026/03/22 12:32:42]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g3 -json output.json","AdvancedCallTrump","idv5c3"
"8","can5ad.g3","0.25","150","63","300","0","0.01","0.50604",,"12",,"[2026/03/22 12:37:30]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g3 -json output.json","AdvancedDiscard","idv5c3"
"9","can5ap.g3","0.75","100","127","400","0","0.01","0.49192",,,"7","[2026/03/22 14:00:01]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g3 -json output.json","AdvancedPlay","idv5c3"
"10","can5act.g4","0.75","75","255","500","0","0.01","0.5328","19",,,"[2026/03/22 14:06:29]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g4 -json output.json","AdvancedCallTrump","idv5c4"
"11","can5ad.g4","0.25","150","63","300","0","0.01","0.49704",,"12",,"[2026/03/22 14:10:57]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g4 -json output.json","AdvancedDiscard","idv5c4"
"12","can5ap.g4","0.75","100","127","400","0","0.01","0.49696",,,"10","[2026/03/22 15:19:23]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g4 -json output.json","AdvancedPlay","idv5c4"
"13","can5act.g5","0.75","75","255","500","0","0.01","0.52728","19",,,"[2026/03/22 15:31:08]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g5 -json output.json","AdvancedCallTrump","idv5c5"
"14","can5ad.g5","0.25","150","63","300","0","0.01","0.50104",,"12",,"[2026/03/22 15:35:52]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g5 -json output.json","AdvancedDiscard","idv5c5"
"15","can5ap.g5","0.75","100","127","400","0","0.01","0.48984",,,"8","[2026/03/22 16:54:28]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g5 -json output.json","AdvancedPlay","idv5c5"
"16","can5act.g6","0.75","75","255","500","0","0.01","0.52804","19",,,"[2026/03/22 17:04:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g6 -json output.json","AdvancedCallTrump","idv5c6"
"17","can5ad.g6","0.25","150","63","300","0","0.01","0.4982",,"12",,"[2026/03/22 17:09:28]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g6 -json output.json","AdvancedDiscard","idv5c6"
"18","can5ap.g6","0.75","100","127","400","0","0.01","0.478",,,"9","[2026/03/22 18:25:44]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g6 -json output.json","AdvancedPlay","idv5c6"
"19","can5act.g7","0.75","75","255","500","0","0.01","0.52956","19",,,"[2026/03/22 18:35:10]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g7 -json output.json","AdvancedCallTrump","idv5c7"
"20","can5ad.g7","0.25","150","63","300","0","0.01","0.49768",,"12",,"[2026/03/22 18:39:36]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g7 -json output.json","AdvancedDiscard","idv5c7"
"21","can5ap.g7","0.75","100","127","400","0","0.01","0.48416",,,"6","[2026/03/22 19:54:02]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g7 -json output.json","AdvancedPlay","idv5c7"
"22","can5act.g8","0.75","75","255","500","0","0.01","0.54132","19",,,"[2026/03/22 20:06:11]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g8 -json output.json","AdvancedCallTrump","idv5c8"
"23","can5ad.g8","0.25","150","63","300","0","0.01","0.49376",,"10",,"[2026/03/22 20:11:00]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g8 -json output.json","AdvancedDiscard","idv5c8"
"24","can5ap.g8","0.75","100","127","400","0","0.01","0.46296",,,"15","[2026/03/22 21:34:41]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g8 -json output.json","AdvancedPlay","idv5c8"
"25","can5act.g9","0.75","75","255","500","0","0.01","0.53176","23",,,"[2026/03/22 21:47:41]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g9 -json output.json","AdvancedCallTrump","idv5c9"
"26","can5ad.g9","0.25","150","63","300","0","0.01","0.49388",,"12",,"[2026/03/22 21:52:18]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g9 -json output.json","AdvancedDiscard","idv5c9"
"27","can5ap.g9","0.75","100","127","400","0","0.01","0.49832",,,"9","[2026/03/22 23:15:20]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g9 -json output.json","AdvancedPlay","idv5c9"
"28","can5act.g1.2","0.375","50","255","500","0","0.01","0.53896","23",,,"[2026/04/17 09:27:23]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g1.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g1.2 -json output.json","AdvancedCallTrump","idv5c1"
"29","can5ad.g1.2","0.125","75","31","300","0","0.01","0.50256",,"13",,"[2026/04/17 09:31:40]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g1.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g1.2 -json output.json","AdvancedDiscard","idv5c1"
"30","can5ap.g1.2","0.75","25","127","400","0","0.05","0.5146",,,"11","[2026/04/17 10:44:10]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g1.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g1.2 -json output.json","AdvancedPlay","idv5c1"
"31","can5act.g2.2","0.375","50","255","500","0","0.01","0.536","23",,,"[2026/04/17 10:56:36]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g2.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g2.2 -json output.json","AdvancedCallTrump","idv5c2"
"32","can5ad.g2.2","0.125","75","31","300","0","0.01","0.5024",,"12",,"[2026/04/17 11:00:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g2.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g2.2 -json output.json","AdvancedDiscard","idv5c2"
"33","can5ap.g2.2","0.75","25","127","400","0","0.05","0.51872",,,"6","[2026/04/17 12:14:37]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g2.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g2.2 -json output.json","AdvancedPlay","idv5c2"
"34","can5act.g3.2","0.375","50","255","500","0","0.01","0.53344","23",,,"[2026/04/17 12:26:12]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g3.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g3.2 -json output.json","AdvancedCallTrump","idv5c3"
"35","can5ad.g3.2","0.125","75","31","300","0","0.01","0.5038",,"10",,"[2026/04/17 12:30:25]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g3.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g3.2 -json output.json","AdvancedDiscard","idv5c3"
"36","can5ap.g3.2","0.75","25","127","400","0","0.05","0.47244",,,"7","[2026/04/17 13:42:26]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-play can5ap.g3.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ap.g3.2 -json output.json","AdvancedPlay","idv5c3"
"37","can5act.g4.2","0.375","50","255","500","0","0.01","0.52916","22",,,"[2026/04/17 13:48:42]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-call can5act.g4.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5act.g4.2 -json output.json","AdvancedCallTrump","idv5c4"
"38","can5ad.g4.2","0.125","75","31","300","0","0.01","0.50056",,"10",,"[2026/04/17 13:52:57]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.g4.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.g4.2 -json output.json","AdvancedDiscard","idv5c4"
